Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Russia,"RUDNAYA PRISTAN",RURDP,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
India,RUKMAWATI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,RUMBAI,,0,0,0,0,7,,Indonesia,"Malacca Strait"
Philippines,SABANG,PHSBG,0,0,0,0,8,,Philippines,Philippines
Indonesia,"SABANG ANCH",,0,0,0,0,7,,Indonesia,"Malacca Strait"
Philippines,"SABANG BEACH",,0,0,0,0,8,,Philippines,Philippines
Philippines,"SAN FERNANDO ANCH",,0,0,0,0,8,,Philippines,Philippines
India,SANGHI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,SAPE,IDSAP,0,0,0,0,8,,Indonesia,"Timor Sea"
Malaysia,"SARIKEI ANCH",,0,0,0,0,8,,Indonesia,"Riau Archipelago"
Indonesia,SARMI,IDZRM,0,1,0,0,9,,Indonesia,Indonesia
India,SARTANPAR,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Malaysia,"SEBANA COVE",,0,0,0,0,8,,Indonesia,"Singapore Area"
Brunei,"SERIA OIL TERMINAL",BNSER,0,1,0,0,8,"SERIA TERMINAL ANCH",Indonesia,"Riau Archipelago"
Japan,SHINMINATO,,0,0,0,0,9,,"CIS Pacific","CIS Pacific"
Indonesia,"SIBOLGA ANCH",,0,0,0,0,7,,Indonesia,Indonesia
Russia,SIZIMAN,RUSIZ,0,0,0,0,10,,"CIS Pacific","Okhotsk Sea"
Russia,SKALISTYY,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
Panama,"SOUTHERN PEARL",,0,0,0,0,7,,Indonesia,"Singapore Area"
Russia,STARODUBSKOYE,,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Russia,SUNTAR,,0,0,0,0,9,,"CIS Pacific","CIS Pacific"
Philippines,"SUPREME DOMINION INC",,0,0,0,0,8,,Philippines,"Sulu Sea"
Philippines,"SURIGAO ANCH",,0,1,1,0,8,,Philippines,Philippines
Russia,SVETLAYA,RUSVE,0,1,1,0,10,"SVETLAYA ANCH","CIS Pacific","Okhotsk Sea"
Philippines,"TACLOBAN ANCH",,0,0,0,0,8,,Philippines,Philippines
India,TADADI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Philippines,TANDAG,PHTDG,0,0,0,0,8,,Philippines,Philippines
