Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Indonesia,"MANGGIS ANCH",,4,8,10,0,8,,Indonesia,Indonesia
Bangladesh,"MONGLA ANCH",,4,0,3,0,6,,"East Coast India","Bengal Bay"
Indonesia,"MUNTOK ANCH",,4,3,2,0,7,,Indonesia,"Java Sea"
Russia,"NEVELSK ANCH",,4,3,4,0,11,,"CIS Pacific","Okhotsk Sea"
Tonga,"NUKU ALOFA",TOTBU,4,0,1,0,13,"NUKU ALOFA ANCH","South Pacific","South Pacific"
Philippines,OZAMIZ,PHOZC,4,2,2,0,8,"OZAMIZ ANCH",Philippines,Philippines
Indonesia,"PAITON ANCH",,4,1,2,0,7,,Indonesia,"Java Sea"
Indonesia,"PANGKALAN SUSU ANCH",,4,1,1,0,7,,Indonesia,"Malacca Strait"
Thailand,PATTANI,THPTN,4,0,1,0,7,,"South-East Asia","Riau Archipelago"
Russia,PODYAPOLSKIY,,4,6,5,0,10,"PODYAPOLSKIY ANCH","CIS Pacific","CIS Pacific"
Russia,POSYET,RUPSE,4,3,3,0,10,"POSYET ANCH","CIS Pacific","CIS Pacific"
Russia,"PRIGORODNOYE ANCH",,4,6,6,0,11,,"CIS Pacific","Okhotsk Sea"
Vietnam,"QUI NHON ANCH",,4,0,1,0,7,,"South-East Asia","South-East Asia"
Russia,"SOVGAVAN ANCH",,4,1,3,0,10,,"CIS Pacific","Okhotsk Sea"
"French Polynesia","VAIARE HARBOR",,4,12,15,0,-10,,"South Pacific","South Pacific"
Philippines,"VIRAC ANCH",,4,0,0,0,8,,Philippines,Philippines
Indonesia,BALONGAN,IDBAL,3,3,3,9,7,,Indonesia,"Java Sea"
Philippines,TAGBILARAN,PHTAG,3,3,4,6,8,"TAGBILARAN ANCH",Philippines,Philippines
Indonesia,KELANIS,,3,9,5,5,7,,Indonesia,Indonesia
Indonesia,TERNATE,IDTTE,3,15,16,5,9,"TERNATE ANCH",Indonesia,"Molucca Sea"
Indonesia,BIRINGKASSI,IDBIR,3,2,2,4,8,"BIRINGKASSI ANCH",Indonesia,"Java Sea"
Indonesia,BUNYU,IDBYQ,3,0,1,4,8,,Indonesia,"Celebes Sea"
Thailand,"KOH SAMUI",THKSM,3,6,7,4,7,"KO SAMUI ANCH","South-East Asia","Gulf of Thailand"
Timor-Leste,DILI,TLDIL,3,1,1,3,9,"DILI ANCH",Indonesia,"Timor Sea"
Philippines,LIPATA,,3,10,10,3,8,,Philippines,Philippines
Indonesia,LUWUK,IDLUW,3,1,3,3,8,"LUWUK ANCH",Indonesia,"Molucca Sea"
Indonesia,MANGGIS,IDMGB,3,7,7,3,8,"MANGGIS ANCH",Indonesia,Indonesia
India,KARWAR,INKRW,3,0,0,2,5.5,"KARWAR BAY","West Coast India","West Coast India"
Indonesia,NAMLEA,IDNAM,3,2,3,2,9,,Indonesia,"Molucca Sea"
Indonesia,"PANGKAL BALAM",IDPGX,3,0,1,2,7,,Indonesia,"Java Sea"
Russia,ANADYR,RUDYR,3,3,1,1,12,,"CIS Pacific","Bering Sea"
Australia,"BAYU UNDAN",,3,3,3,1,8,,Indonesia,"Timor Sea"
Vietnam,"CHAN MAY",VNCMY,3,1,1,1,7,"CHAN MAY ANCH","South-East Asia","South-East Asia"
Philippines,DUMANGAS,,3,17,17,1,8,,Philippines,"Sulu Sea"
India,JAFRABAD,INJBD,3,2,2,1,5.5,"JAFRABAD ANCH","West Coast India","West Coast India"
Indonesia,KAIMANA,,3,1,3,1,9,,Indonesia,"Arafura Sea"
Russia,"KHOLMSK ANCH",,3,2,5,1,11,,"CIS Pacific","Okhotsk Sea"
Philippines,"LILOAN FERRY",,3,2,3,1,8,,Philippines,Philippines
Brunei,"MUARA ANCH",,3,4,4,1,8,,Indonesia,"Riau Archipelago"
Philippines,NAGA,,3,1,0,1,8,"NAGA ANCH",Philippines,Philippines
Malaysia,"PANGKOR MARINA",,3,15,13,1,9,,Indonesia,"Malacca Strait"
Thailand,"SAMUT SAKHON",THSAU,3,3,1,1,7,"SAMUT SAKHON ANCH","South-East Asia","Gulf of Thailand"
Thailand,"SAMUT SAKHON ANCH",,3,2,4,1,7,,"South-East Asia","Gulf of Thailand"
Philippines,"SEMIRARA ANCH",,3,6,6,1,8,,Philippines,"Sulu Sea"
India,"VADINAR ANCH",,3,5,6,1,5.5,,"West Coast India","West Coast India"
Malaysia,AMLC,,3,0,1,0,8,,Indonesia,"Malacca Strait"
Thailand,"AO POH GRAND MARINA",,3,1,0,0,7,,"South-East Asia","Andaman Sea"
Indonesia,"BENGKULU ANCH",,3,2,3,0,7,,Indonesia,Indonesia
India,BEYPORE,INBEY,3,1,0,0,5.5,"BEYPORE ANCH","West Coast India","West Coast India"
Thailand,"BUALUANG OILFIELD",THRVT,3,0,0,0,7,,"South-East Asia","Gulf of Thailand"
"Christmas Is","CHRISTMAS ISLAND",CXXCH,3,2,3,0,7,"CHRISTMAS ISLE ANCH",Indonesia,Indonesia
Indonesia,"CILACAP ANCH",,3,2,3,0,7,,Indonesia,Indonesia
"Marshall Islands","CS PROSPERITY",,3,1,2,0,7,,Indonesia,"Singapore Area"
Philippines,"ILOILO ANCH",,3,0,1,0,8,,Philippines,"Sulu Sea"
Indonesia,"JAYAPURA ANCH",,3,0,2,0,9,,Indonesia,Indonesia
Philippines,JIMENEZ,PHJNZ,3,1,0,0,8,,Philippines,Philippines
Russia,KHABAROVSK,RUKHV,3,2,0,0,10,,"CIS Pacific","Okhotsk Sea"
Malaysia,KIMANIS,MYKIM,3,1,0,0,8,,Indonesia,"Riau Archipelago"
Malaysia,"LANGKAWI ANCH",,3,0,0,0,8,,"South-East Asia","Malacca Strait"
Indonesia,"LEMBAR ANCH",,3,8,8,0,8,,Indonesia,"Timor Sea"
Indonesia,"MEKAR PUTIH ANCH",,3,5,5,0,8,,Indonesia,"Java Sea"
Thailand,MEKLONG,THMEK,3,1,2,0,7,,"South-East Asia","Gulf of Thailand"
Palau,MELEKEOK,PWMKK,3,2,0,0,8,,Indonesia,Indonesia
Indonesia,NABIRE,IDNBX,3,0,1,0,9,,Indonesia,Indonesia
Philippines,"NAGA ANCH",,3,1,1,0,8,,Philippines,Philippines
Philippines,PALOMPON,PHPPN,3,0,0,0,8,,Philippines,Philippines
Philippines,PLARIDEL,PHPLA,3,1,0,0,8,,Philippines,Philippines
India,PORBANDAR,INPBD,3,0,1,0,5.5,"PORBANDAR ANCH","West Coast India","West Coast India"
Malaysia,REBAK,,3,0,0,0,8,,Indonesia,"Malacca Strait"
Philippines,"SANTA CRUZ",PHSCR,3,0,0,0,8,,Philippines,Philippines
Indonesia,"SANTAN TERMINAL",IDSAT,3,1,1,0,8,,Indonesia,"Makassar Strait"
Russia,"SEVERO-KURILSK ANCH",,3,3,4,0,12,,"CIS Pacific","CIS Pacific"
Russia,"SLAVYANKA ANCH",,3,7,6,0,10,,"CIS Pacific","CIS Pacific"
Indonesia,"SORONG ANCH",,3,1,1,0,9,,Indonesia,Indonesia
Philippines,"TAGBILARAN ANCH",,3,0,3,0,8,,Philippines,Philippines
Malaysia,"TAWAU ANCH",,3,1,0,0,8,,Indonesia,"Celebes Sea"
Indonesia,TEGAL,IDTEG,3,0,2,0,7,,Indonesia,"Java Sea"
"Sri Lanka","TRINCOMALEE ANCH",,3,0,2,0,5.5,,"East Coast India","East Coast India"
Philippines,VIRAC,PHVRC,3,1,2,0,8,"VIRAC ANCH",Philippines,Philippines
Vietnam,VISSAI,,3,4,5,0,8,,"South-East Asia","South-East Asia"
Indonesia,WEDA,IDWED,2,1,1,14,9,,Indonesia,"Molucca Sea"
Vietnam,"CAN THO",VNVCA,2,0,0,4,7,,"South-East Asia","South-East Asia"
India,GOPALPUR,INGPR,2,0,0,4,5.5,,"East Coast India","Bengal Bay"
India,MULDWARKA,INMDK,2,1,0,4,5.5,"MULDWARKA ANCH","West Coast India","West Coast India"
Indonesia,"POTO TANO",IDPOT,2,18,17,4,8,,Indonesia,"Timor Sea"
Russia,PRIGORODNOYE,RUPGN,2,4,6,4,11,"PRIGORODNOYE ANCH","CIS Pacific","Okhotsk Sea"
Philippines,SEMIRARA,PHSMR,2,5,5,4,8,"SEMIRARA ANCH",Philippines,"Sulu Sea"
Philippines,CARMEN,,2,0,1,3,8,,Philippines,Philippines
Philippines,CATICLAN,PHMPH,2,5,5,3,8,,Philippines,"Sulu Sea"
Philippines,DANGAY,,2,4,4,3,8,,Philippines,"Sulu Sea"
Malaysia,"FPSO KIKEH",,2,3,4,3,8,,Indonesia,"Riau Archipelago"
Indonesia,GEBE,IDGEB,2,0,1,3,9,,Indonesia,Indonesia
Indonesia,JAMBI,IDDJB,2,0,1,3,7,,Indonesia,"Java Sea"
Indonesia,KENDAWANGAN,,2,0,1,3,7,,Indonesia,"Java Sea"
Indonesia,PADANGBAI,,2,14,14,3,8,,Indonesia,Indonesia
Indonesia,"PARE PARE",IDPAP,2,3,3,3,8,,Indonesia,"Java Sea"
Indonesia,BIAK,IDBIK,2,3,4,2,9,,Indonesia,Indonesia
Russia,KHANDYGA,,2,0,1,2,9,,"CIS Pacific","Okhotsk Sea"
Indonesia,KOLAKA,IDKOL,2,3,3,2,8,"KOLAKA ANCH",Indonesia,"Banda Sea"
Indonesia,MANOKWARI,IDMKW,2,1,3,2,9,"MANOKWARI ANCH",Indonesia,Indonesia
Indonesia,MEULABOH,IDMEQ,2,1,1,2,7,"MEULABOH ANCH",Indonesia,Indonesia
Indonesia,"MUARA SATUI",IDSTU,2,6,4,2,8,,Indonesia,"Java Sea"
Philippines,ODIONGAN,PHODI,2,3,3,2,8,,Philippines,Philippines
Indonesia,PERAWANG,IDPWG,2,1,2,2,7,,Indonesia,"Malacca Strait"
Philippines,"PIO DURAN",,2,2,2,2,8,,Philippines,Philippines
Indonesia,SAUMLAKI,IDSXK,2,2,1,2,9,"SAUMLAKI ANCH",Indonesia,"Banda Sea"
Philippines,TABACO,PHTBC,2,0,1,2,8,"TABACO ANCH",Philippines,Philippines
Indonesia,"TELUK SEMANGKA",IDSMB,2,1,1,2,7,"TELUK SEMANGKA ANCH",Indonesia,"Java Sea"
India,VIZHINJAM,INVZJ,2,0,1,2,5.5,"VIZHINJAM ANCH","East Coast India","Laccadive Sea"
Philippines,BULALACAO,,2,1,1,1,8,,Philippines,"Sulu Sea"
Indonesia,GARONGKONG,,2,1,1,1,8,"GARONGKONG ANCH",Indonesia,"Java Sea"
Indonesia,JEPARA,IDJEP,2,1,0,1,7,,Indonesia,"Java Sea"
Indonesia,"LHOKSEUMAWE ANCH",,2,1,2,1,7,,Indonesia,"Malacca Strait"
Philippines,MAUBAN,PHMAU,2,0,0,1,8,,Philippines,Philippines
Russia,NIZHNEYANSK,,2,1,0,1,10,,"CIS Pacific","Laptev Sea"
Indonesia,RAHA,IDRAQ,2,1,1,1,8,,Indonesia,"Banda Sea"
"Cook Islands",RAROTONGA,CKRAR,2,1,2,1,-10,"RAROTONGA ANCH","South Pacific","South Pacific"
Brunei,"SERIA TERMINAL ANCH",,2,1,1,1,8,,Indonesia,"Riau Archipelago"
Liberia,AURORA,,2,3,5,0,7,,"South-East Asia","Gulf of Thailand"
Philippines,BALATERO,,2,3,3,0,8,,Philippines,Philippines
Indonesia,BIMA,IDBMU,2,0,0,0,8,,Indonesia,"Timor Sea"
Indonesia,"BIRINGKASSI ANCH",,2,3,2,0,8,,Indonesia,"Java Sea"
Russia,"BOLSHOY KAMEN",RUBKN,2,0,0,0,10,"BOLSHOY KAMEN ANCH","CIS Pacific","CIS Pacific"
Vietnam,"CHAN MAY ANCH",,2,2,2,0,7,,"South-East Asia","South-East Asia"
Malaysia,CHENDERING,,2,1,0,0,8,,Indonesia,"Riau Archipelago"
"Marshall Islands","CS INNOVATION",,2,2,0,0,7,,Indonesia,"Singapore Area"
India,"CUDDALORE ANCH",,2,0,0,0,5.5,,"East Coast India","Bengal Bay"
"French Polynesia","FATU HIVA",PFFAT,2,1,2,0,-9.5,"FATU HIVA ANCH","South Pacific","South Pacific"
"Sri Lanka","GALLE ANCH",,2,3,4,0,5.5,,"East Coast India","Laccadive Sea"
Philippines,HAGNAYA,PHHYB,2,5,7,0,8,,Philippines,Philippines
Russia,ISLYAMOVA,,2,0,0,0,10,,"CIS Pacific","CIS Pacific"
Philippines,KAONGKOD,,2,0,0,0,8,,Philippines,Philippines
Indonesia,"KARAPAN ARMADA STERL",,2,0,2,0,7,,Indonesia,"Java Sea"
Indonesia,"LAWE LAWE",IDLLA,2,1,3,0,8,"LAWE LAWE ANCH",Indonesia,"Makassar Strait"
India,MINICOY,INMCI,2,1,0,0,5.5,,"West Coast India","West Coast India"
India,OKHA,INOKH,2,0,0,0,5.5,"OKHA ANCH","West Coast India","West Coast India"
Russia,"OKHOTSK ANCH",,2,0,0,0,10,,"CIS Pacific","Okhotsk Sea"
Philippines,"OZAMIZ ANCH",,2,0,0,0,8,,Philippines,Philippines
Indonesia,PANTOLOAN,IDPTL,2,1,1,0,8,,Indonesia,"Makassar Strait"
Philippines,"S FERNANDO CEBU ANCH",,2,0,2,0,9,,Philippines,Philippines
Indonesia,"SAMPIT ANCH",,2,6,4,0,7,,Indonesia,"Java Sea"
Malaysia,"SANDAKAN ANCH",,2,1,0,0,8,,Indonesia,"Sulu Sea"
Philippines,"SANGI ANCH",,2,0,0,0,8,,Philippines,Philippines
Malaysia,SARIKEI,MYSAR,2,1,1,0,8,"SARIKEI ANCH",Indonesia,"Riau Archipelago"
Cambodia,"SIHANOUKVILLE ANCH",,2,4,1,0,7,,"South-East Asia","Gulf of Thailand"
Russia,"SVETLAYA ANCH",,2,1,2,0,10,,"CIS Pacific","Okhotsk Sea"
Malaysia,"TELOK RAMUNIA",MYTRM,2,2,1,0,8,,Indonesia,"Singapore Area"
Indonesia,"TELUK SEMANGKA ANCH",,2,0,0,0,7,,Indonesia,"Java Sea"
Russia,TILICHIKI,RUTIL,2,5,7,0,12,,"CIS Pacific","Bering Sea"
Indonesia,TOBELO,IDTBO,2,1,1,0,9,,Indonesia,Indonesia
India,"TUTICORIN ANCH",,2,0,1,0,5.5,,"East Coast India","Laccadive Sea"
"French Polynesia",UTUROA,PFUTU,2,4,4,0,-10,,"South Pacific","South Pacific"
Indonesia,WINI,,2,0,0,0,8,,Indonesia,"Timor Sea"
Myanmar,"YANGON ANCH",,2,1,2,0,6.5,,"South-East Asia","Andaman Sea"
Philippines,SURIGAO,PHSUG,1,4,4,14,8,"SURIGAO ANCH",Philippines,Philippines
Bangladesh,MONGLA,BDMGL,1,1,1,6,6,"MONGLA ANCH","East Coast India","Bengal Bay"
Vietnam,"LONG AN",VNLAP,1,0,1,4,7,,"South-East Asia","South-East Asia"
Malaysia,TAWAU,MYTWU,1,0,1,4,8,"TAWAU ANCH",Indonesia,"Celebes Sea"
Indonesia,BADE,IDBXD,1,1,0,3,9,,Indonesia,"Arafura Sea"
Indonesia,MALAHAYATI,,1,0,1,3,7,"MALAHAYATI ANCH",Indonesia,"Malacca Strait"
Vietnam,"MY THO",VNMUT,1,0,0,3,7,,"South-East Asia","South-East Asia"
Malaysia,SANDAKAN,MYSDK,1,3,1,3,8,"SANDAKAN ANCH",Indonesia,"Sulu Sea"
Indonesia,"GAGAK RIMANG",,1,3,4,2,7,,Indonesia,"Java Sea"
Malaysia,SIBU,MYSBW,1,0,0,2,8,,Indonesia,"Riau Archipelago"
Indonesia,SINABANG,IDSNG,1,1,0,2,7,,Indonesia,Indonesia
Philippines,TACLOBAN,PHTAC,1,0,0,2,8,"TACLOBAN ANCH",Philippines,Philippines
Indonesia,TOLITOLI,IDTLI,1,0,1,2,8,"TOLITOLI ANCH",Indonesia,"Celebes Sea"
Indonesia,AMPENAN,IDAMP,1,1,1,1,8,"AMPENAN ANCH",Indonesia,"Timor Sea"
Indonesia,AMURANG,IDTZD,1,0,1,1,8,,Indonesia,"Celebes Sea"
Indonesia,ANGGREK,IDAGR,1,0,0,1,8,,Indonesia,"Celebes Sea"
Indonesia,"ANOA NATUNA",,1,2,3,1,8,,Indonesia,"Riau Archipelago"
Russia,BOSHNYAKOVO,RUBOS,1,0,0,1,11,"BOSHNYAKOVO ANCH","CIS Pacific","Okhotsk Sea"
Indonesia,DOBO,IDDOB,1,1,1,1,9,,Indonesia,"Arafura Sea"
Malaysia,"FSO SEPAT",,1,6,6,1,7,,"South-East Asia","Riau Archipelago"
Indonesia,JAMPEA,,1,1,2,1,8,,Indonesia,"Banda Sea"
Thailand,KANTANG,THKAN,1,0,0,1,7,,"South-East Asia","Andaman Sea"
Thailand,"KO SAMUI ANCH",,1,2,3,1,7,,"South-East Asia","Gulf of Thailand"
Malaysia,KUNAK,MYKUN,1,0,0,1,8,"KUNAK ANCH",Indonesia,"Celebes Sea"
Indonesia,LABUANABAJO,IDLBJ,1,2,2,1,8,,Indonesia,"Timor Sea"
Indonesia,LIKUPANG,,1,1,0,1,8,,Indonesia,Indonesia
Philippines,MAASIN,PHMAA,1,0,0,1,8,,Philippines,Philippines
Vietnam,"NHA TRANG",VNNHA,1,0,0,1,7,,"South-East Asia","South-East Asia"
Indonesia,NUNUKAN,IDNNX,1,1,1,1,8,,Indonesia,"Celebes Sea"
Japan,OSHIDOMARI,JPOSD,1,2,2,1,9,,"CIS Pacific","CIS Pacific"
Indonesia,"PANGKALAN SUSU",IDPKS,1,1,0,1,7,"PANGKALAN SUSU ANCH",Indonesia,"Malacca Strait"
Malaysia,"PFLNG SATU",,1,4,4,1,8,,Indonesia,"Riau Archipelago"
Philippines,"PUERTO PRINCESA",PHPPS,1,1,0,1,9,,Philippines,"Sulu Sea"
India,RATNAGIRI,INRTC,1,0,0,1,5.5,"RATNAGIRI ANCH","West Coast India","West Coast India"
Indonesia,SANGATA,IDSGQ,1,0,1,1,8,,Indonesia,"Makassar Strait"
Malaysia,SIPITANG,MYSPT,1,0,0,1,8,,Indonesia,"Riau Archipelago"
Philippines,TUBIGON,PHTON,1,11,11,1,8,,Philippines,Philippines
Indonesia,WAINGAPU,IDWGP,1,1,1,1,8,"WAINGAPU ANCH",Indonesia,"Timor Sea"
Maldives,ADDU,MVADU,1,0,1,0,5,,"West Coast India","West Coast India"
Niue,"ALOFI ANCH",,1,0,1,0,-11,,"South Pacific","South Pacific"
Indonesia,AMAHAI,IDAHI,1,0,0,0,9,,Indonesia,"Banda Sea"
Indonesia,ATAPUPU,,1,0,0,0,8,,Indonesia,"Timor Sea"
Vietnam,"BA NGOI ANCH",,1,5,6,0,7,,"South-East Asia","South-East Asia"
Philippines,"BACOLOD ANCH",,1,1,2,0,8,,Philippines,"Sulu Sea"
Indonesia,BALOHAN,IDBLH,1,4,5,0,7,,Indonesia,"Malacca Strait"
Indonesia,BANYUWANGI,IDBJU,1,0,0,0,7,,Indonesia,"Java Sea"
Philippines,BAYBAY,PHBYB,1,1,0,0,8,,Philippines,Philippines
Indonesia,"BENOA ANCH",,1,8,7,0,8,,Indonesia,Indonesia
Russia,"BOLSHOY KAMEN ANCH",,1,0,0,0,10,,"CIS Pacific","CIS Pacific"
Philippines,BONGAO,,1,1,1,0,8,,Philippines,"Celebes Sea"
Indonesia,"CELUKAN BAWANG",IDCEB,1,1,1,0,8,"CELUKAN BAWANG ANCH",Indonesia,"Java Sea"
Russia,CHAZHMA,,1,0,0,0,10,"CHAZHMA ANCH","CIS Pacific","CIS Pacific"
India,DABHOL,INDHP,1,0,0,0,5.5,,"West Coast India","West Coast India"
Philippines,DAPA,,1,2,1,0,8,,Philippines,Philippines
Philippines,"DAPITAN ANCH",,1,0,0,0,8,,Philippines,"Sulu Sea"
Philippines,"DAVAO THERMA SOUTH",,1,1,2,0,9,,Philippines,Philippines
India,DIGHI,INDIG,1,0,0,0,5.5,"DIGHI ANCH","West Coast India","West Coast India"
India,DWARKA,INDWA,1,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,"ENDE ANCH",,1,0,1,0,8,,Indonesia,"Timor Sea"
Malaysia,"FLNG DUA",,1,1,1,0,8,,Indonesia,"Riau Archipelago"
Malaysia,"FOUR RAINBOW",,1,2,2,0,8,,Indonesia,"Riau Archipelago"
Pakistan,GWADAR,PKGWD,1,0,0,0,5,,"West Coast India","West Coast India"
"Sri Lanka","HAMBANTOTA ANCH",,1,3,3,0,5.5,,"East Coast India","Laccadive Sea"
Timor-Leste,HERA,,1,0,0,0,9,,Indonesia,"Timor Sea"
Vietnam,"HYUNDAI VINASHIN",VNVSS,1,0,0,0,7,,"South-East Asia","South-East Asia"
Philippines,JAGNA,PHJAG,1,2,2,0,8,,Philippines,Philippines
India,JAKHAU,INJAK,1,0,0,0,5.5,,"West Coast India","West Coast India"
Thailand,"KO SIMILAN",,1,0,0,0,7,,"South-East Asia","Andaman Sea"
Russia,KONYUSHKOVA,,1,0,1,0,10,,"CIS Pacific","CIS Pacific"
Malaysia,"KUCHING ANCH",,1,1,0,0,8,,Indonesia,"Riau Archipelago"
Malaysia,"KUNAK ANCH",,1,0,0,0,8,,Indonesia,"Celebes Sea"
Indonesia,LARANTUKA,IDLKA,1,1,1,0,8,"LARANTUKA ANCH",Indonesia,"Banda Sea"
Singapore,"LEWEK EMAS",,1,4,4,0,7,,Indonesia,"Riau Archipelago"
Indonesia,LEWOLEBA,IDLWE,1,0,1,0,8,"LEWOLEBA ANCH",Indonesia,"Banda Sea"
Philippines,MAASIM,,1,0,0,0,9,,Philippines,Philippines
Indonesia,MALILI,IDMLI,1,0,1,0,8,"MALILI ANCH",Indonesia,"Molucca Sea"
Indonesia,"MALILI ANCH",,1,1,0,0,8,,Indonesia,"Banda Sea"
India,MALPE,INMAL,1,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,MANADO,IDMDC,1,0,0,0,8,,Indonesia,"Celebes Sea"
Liberia,"MANORA PRINCESS",,1,1,2,0,7,,"South-East Asia","Gulf of Thailand"
"Wallis Futuna Is","MATA UTU",WFMAU,1,0,0,0,12,,"South Pacific","South Pacific"
Indonesia,MELONGUANNE,IDMNA,1,1,1,0,9,,Indonesia,Indonesia
India,"MULDWARKA ANCH",,1,0,1,0,5.5,,"West Coast India","West Coast India"
Indonesia,NAMODALE,,1,0,1,0,8,,Indonesia,"Timor Sea"
Philippines,NASIPIT,PHNAS,1,2,1,0,8,,Philippines,Philippines
India,"OKHA ANCH",,1,0,0,0,5.5,,"West Coast India","West Coast India"
India,"OLD MANGALORE",,1,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,PALOPO,IDPPO,1,0,0,0,8,"PALOPO ANCH",Indonesia,"Banda Sea"
Philippines,"PASACAO ANCH",,1,0,1,0,8,,Philippines,Philippines
Indonesia,"PERTAMINA ABHERKA",,1,2,2,0,7,,Indonesia,"Java Sea"
Russia,PEVEK,RUPWE,1,0,0,0,11,"PEVEK ANCH","CIS Pacific","East Siberian Sea"
Thailand,"PHUKET ANCH",,1,0,1,0,7,,"South-East Asia","Andaman Sea"
India,PILIGAO,,1,0,0,0,5.5,"MORMUGAO ANCH","West Coast India","West Coast India"
"Pitcairn Is",PITCAIRN,PNPCN,1,2,3,0,-8,,"South Pacific","South Pacific"
India,PONDICHERRY,INPNY,1,0,0,0,5.5,,"East Coast India","Bengal Bay"
Indonesia,"PONTIANAK ANCH",,1,7,3,0,7,,Indonesia,"Java Sea"
Philippines,"PORT OF CAPINPIN",,1,0,1,0,8,,Philippines,Philippines
Russia,"POSYET ANCH",,1,3,2,0,10,,"CIS Pacific","CIS Pacific"
Russia,PROVIDENIYA,RUPVS,1,0,0,0,12,,"CIS Pacific","Bering Sea"
Philippines,"PUERTO GALERA",PHPGA,1,1,1,0,8,,Philippines,Philippines
Indonesia,"PULAU SAMBU",IDPSS,1,0,0,0,7,,Indonesia,"Singapore Area"
Thailand,RANONG,THUNN,1,0,0,0,7,,"South-East Asia","Andaman Sea"
India,REVDANDA,INRVD,1,0,0,0,5.5,,"West Coast India","West Coast India"
"French Polynesia",ROTOAVA,,1,2,0,0,-10,"ROTOAVA ANCH","South Pacific","South Pacific"
Indonesia,SABANG,IDSBG,1,0,1,0,7,"SABANG ANCH",Indonesia,"Malacca Strait"
Philippines,"SAN FERNANDO CEBU",,1,0,0,0,9,"S FERNANDO CEBU ANCH",Philippines,Philippines
Philippines,"SAN RICARDO",,1,1,1,0,8,,Philippines,Philippines
Thailand,"SATTAHIP ANCH",,1,1,0,0,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"SAUMLAKI ANCH",,1,1,1,0,9,,Indonesia,"Banda Sea"
Indonesia,SEBA,,1,0,0,0,8,,Indonesia,"Timor Sea"
Malaysia,"SILICA PORT SETIU",,1,0,0,0,8,,Indonesia,"Riau Archipelago"
Philippines,"TABACO ANCH",,1,0,1,0,8,,Philippines,Philippines
Philippines,TABUELAN,,1,4,4,0,8,,Philippines,Philippines
Philippines,TAGANITO,PHTTO,1,3,3,0,8,"TAGANITO ANCH",Philippines,Philippines
Philippines,TALIBON,PHTAL,1,0,1,0,8,,Philippines,Philippines
Indonesia,"TANJUNG JATI ANCH",,1,1,0,0,7,,Indonesia,"Java Sea"
Indonesia,"TANJUNG KLUANG",,1,0,0,0,7,,Indonesia,"Java Sea"
Indonesia,"TANJUNG SABAU",,1,0,0,0,8,,Indonesia,"Makassar Strait"
Indonesia,"TANJUNG SELOR",IDTJS,1,0,0,0,8,,Indonesia,"Celebes Sea"
Thailand,"THAP LAMU",,1,0,0,0,7,,"South-East Asia","Andaman Sea"
Vietnam,"VIETSOVPETRO 01",,1,0,1,0,7,,"South-East Asia","South-East Asia"
Philippines,"ZAMBOANGA ANCH",,1,2,1,0,8,,Philippines,"Sulu Sea"
Russia,"ZARUBINO ANCH",,1,1,2,0,10,,"CIS Pacific","CIS Pacific"
Russia,OKHOTSK,RUOHO,0,0,0,7,10,"OKHOTSK ANCH","CIS Pacific","Okhotsk Sea"
India,BHAVNAGAR,INBHU,0,0,0,6,5.5,"BHAVNAGAR ANCH","West Coast India","West Coast India"
Indonesia,KOTABARU,IDKBU,0,2,0,5,8,"PEMANCINGAN ANCH",Indonesia,"Java Sea"
India,ALANG,INALA,0,0,0,4,5.5,,"West Coast India","West Coast India"
Malaysia,"LAHAD DATU",MYLDU,0,1,0,4,8,"LAHAD DATU ANCH",Indonesia,"Celebes Sea"
Thailand,PRACHUAP,THPKK,0,0,0,4,7,"PRACHUAP ANCH","South-East Asia","Gulf of Thailand"
USA,ADAK,USADK,0,3,3,3,-8,,"CIS Pacific","CIS Pacific"
Philippines,DAPITAN,,0,6,5,3,8,"DAPITAN ANCH",Philippines,"Sulu Sea"
Indonesia,GORONTALO,IDGTO,0,0,0,3,8,,Indonesia,"Molucca Sea"
Indonesia,KARIMUN,,0,0,0,3,8,,Indonesia,"Singapore Area"
Myanmar,KYAUKPYU,MMKYP,0,2,2,3,6.5,,"South-East Asia","Bengal Bay"
Philippines,"ABRA DE ILOG",,0,9,8,2,8,,Philippines,Philippines
Indonesia,ASIKE,IDASI,0,0,0,2,9,,Indonesia,"Arafura Sea"
Indonesia,BABANG,,0,1,0,2,9,,Indonesia,"Molucca Sea"
Indonesia,ENDE,IDENE,0,1,0,2,8,"ENDE ANCH",Indonesia,"Timor Sea"
Indonesia,KALABAHI,IDKBH,0,1,1,2,8,"KALABAHI ANCH",Indonesia,"Banda Sea"
Indonesia,KUPAL,,0,3,3,2,9,,Indonesia,"Molucca Sea"
India,MAHE,INMAH,0,0,0,2,5.5,,"West Coast India","West Coast India"
Indonesia,"MUARA JAWA",IDMUD,0,2,2,2,8,,Indonesia,"Makassar Strait"
Indonesia,PACITAN,ID5PP,0,0,0,2,7,"PACITAN ANCH",Indonesia,Indonesia
