Port,Year,Week,"Commercial Market","Commercial Size Class"," Median Waiting Time Off Port Limits","Waiting Time Off Port Limits Confidence Score ","Median Time At Port","Time At Port Confidence Score","Median Waiting Time Off Port Limits  Standard Deviation ","Time At Port Standard Deviation","Median Waiting Time Off Port Limits Difference (week-to-week)","Waiting Time Off Port Limits  % Difference (week-to-week)","Time At Port Difference (week-to-week)","Time At Port % Difference (week-to-week)","Number Of Calls","Number Of Vessels","Port Country",Unlocode
"Batu ampar",2022,19,ALL,ALL,0.3,LOW,0.6,LOW,3.3,10.0,,,,,29,19,Indonesia,IDBUR
Banjarmasin,2022,19,ALL,ALL,0.3,LOW,1.0,LOW,0.5,6.6,-0.2,-40.0,-0.7,-41.2,35,30,Indonesia,IDBDJ
"Banda aceh",2022,19,ALL,ALL,,LOW,0.1,LOW,,0.2,,,0.0,0.0,15,1,Indonesia,IDBTJ
Balikpapan,2022,19,ALL,ALL,1.1,HIGH,1.4,HIGH,1.1,1.3,-0.5,-31.3,-0.1,-6.7,38,29,Indonesia,IDBPN
Bakauheni,2022,19,ALL,ALL,0.1,HIGH,0.1,HIGH,1.7,0.3,0.0,0.0,0.0,0.0,634,54,Indonesia,IDTKG
Bajoe,2022,19,ALL,ALL,,HIGH,0.8,HIGH,,1.0,,,-1.1,-57.9,13,5,Indonesia,
Ampenan,2022,19,ALL,ALL,,LOW,0.5,LOW,,0.7,,,-0.2,-28.6,2,2,Indonesia,IDAMP
Ambon,2022,19,ALL,ALL,,MEDIUM,1.6,MEDIUM,,0.6,,0.0,-0.8,-33.3,4,3,Indonesia,IDAMQ
Amamapare,2022,19,ALL,ALL,2.3,MEDIUM,0.9,MEDIUM,2.8,3.0,0.8,53.3,-1.9,-67.9,8,7,Indonesia,IDAMA
"Adang bay",2022,19,ALL,ALL,0.3,MEDIUM,4.8,MEDIUM,0.0,2.1,0.0,0.0,-0.2,-4.0,8,8,Indonesia,IDADB
Wayame,2022,18,ALL,ALL,1.6,LOW,1.5,LOW,1.9,1.9,0.6,60.0,0.2,15.4,11,10,Indonesia,
Waingapu,2022,18,ALL,ALL,0.3,LOW,0.5,LOW,1.0,0.4,0.0,0.0,0.2,66.7,4,3,Indonesia,IDWGP
Tuban,2022,18,ALL,ALL,0.9,HIGH,1.4,HIGH,0.9,0.9,0.1,12.5,0.4,40.0,14,13,Indonesia,IDTBN
Tual,2022,18,ALL,ALL,1.1,LOW,3.2,LOW,1.6,20.7,0.2,22.2,-17.3,-84.4,23,11,Indonesia,IDTUA
Tolitoli,2022,18,ALL,ALL,0.5,LOW,2.0,LOW,,,,,0.4,25.0,1,1,Indonesia,IDTLI
Ternate,2022,18,ALL,ALL,0.8,LOW,29.6,LOW,0.2,15.4,0.3,60.0,28.8,3600.0,23,4,Indonesia,IDTTE
Telukbayur,2022,18,ALL,ALL,1.1,LOW,3.5,LOW,3.7,3.4,-0.1,-8.3,1.2,52.2,19,15,Indonesia,IDTBR
Tarjun,2022,18,ALL,ALL,1.3,LOW,1.6,LOW,0.4,1.5,-2.7,-67.5,-1.8,-52.9,3,3,Indonesia,IDTAR
Tarahan,2022,18,ALL,ALL,2.5,MEDIUM,1.4,MEDIUM,2.0,6.4,2.0,400.0,-0.1,-6.7,7,7,Indonesia,IDTRH
"Tanjung uban",2022,18,ALL,ALL,1.3,LOW,0.1,LOW,1.8,6.9,-0.1,-7.1,-0.2,-66.7,62,20,Indonesia,IDITN
"Tanjung pemancingan",2022,18,ALL,ALL,0.5,MEDIUM,2.9,MEDIUM,,1.3,,,2.0,222.2,2,2,Indonesia,IDTPN
"Tanjung jati",2022,18,ALL,ALL,1.0,MEDIUM,2.5,MEDIUM,0.4,0.5,-0.8,-44.4,-0.5,-16.7,4,3,Indonesia,
"Tanjung bara",2022,18,ALL,ALL,3.3,LOW,1.5,LOW,12.4,1.0,0.7,26.9,0.5,50.0,7,7,Indonesia,IDTBA
Tangguh,2022,18,ALL,ALL,13.7,MEDIUM,1.5,MEDIUM,8.9,0.1,12.0,705.9,-0.7,-31.8,3,3,Indonesia,
Suralaya,2022,18,ALL,ALL,1.5,LOW,1.5,LOW,1.3,2.4,-1.1,-42.3,0.3,25.0,25,20,Indonesia,IDSRL
Surabaya,2022,18,ALL,ALL,2.0,LOW,0.6,LOW,2.2,2.7,1.1,122.2,-0.3,-33.3,117,81,Indonesia,IDSUB
"Sungai pakning",2022,18,ALL,ALL,2.0,MEDIUM,1.9,MEDIUM,1.8,0.6,1.3,185.7,-0.4,-17.4,2,2,Indonesia,IDSEQ
Sorong,2022,18,ALL,ALL,0.3,LOW,5.8,LOW,0.3,14.4,0.0,0.0,3.8,190.0,6,5,Indonesia,IDSOQ
Sibolga,2022,18,ALL,ALL,0.3,LOW,11.7,LOW,,6.7,-0.2,-40.0,6.0,105.3,5,3,Indonesia,IDSLG
Semarang,2022,18,ALL,ALL,0.3,LOW,0.9,LOW,4.5,8.7,-0.2,-40.0,-0.1,-10.0,22,19,Indonesia,IDSRG
Saumlaki,2022,18,ALL,ALL,0.2,MEDIUM,0.6,MEDIUM,,,-1.5,-88.2,0.4,200.0,1,1,Indonesia,IDSXK
Sampit,2022,18,ALL,ALL,0.3,LOW,6.1,LOW,0.1,5.8,-0.2,-40.0,4.7,335.7,8,8,Indonesia,IDSMQ
Samarinda,2022,18,ALL,ALL,0.7,LOW,1.4,LOW,1.1,11.7,0.6,600.0,-0.8,-36.4,14,13,Indonesia,IDSRI
Sabang,2022,18,ALL,ALL,,MEDIUM,0.8,MEDIUM,,,,,0.4,100.0,1,1,Indonesia,IDSBG
Pontianak,2022,18,ALL,ALL,0.5,LOW,1.7,LOW,1.5,4.1,0.0,0.0,-0.3,-15.0,23,20,Indonesia,IDPNK
Pomalaa,2022,18,ALL,ALL,0.4,LOW,1.9,LOW,,,,,-0.1,-5.0,1,1,Indonesia,IDPUM
Pomako,2022,18,ALL,ALL,0.9,MEDIUM,2.3,MEDIUM,0.1,3.7,-2.7,-75.0,0.0,0.0,5,4,Indonesia,IDPMK
Pekanbaru,2022,18,ALL,ALL,,LOW,0.8,LOW,,,,,-1.6,-66.7,1,1,Indonesia,IDPKU
Panjang,2022,18,ALL,ALL,1.4,MEDIUM,0.9,MEDIUM,2.6,1.5,1.1,366.7,0.0,0.0,26,22,Indonesia,IDPNJ
"Pangkalan susu",2022,18,ALL,ALL,0.8,MEDIUM,1.2,MEDIUM,0.1,1.8,-0.9,-52.9,0.1,9.1,3,1,Indonesia,IDPKS
Palopo,2022,18,ALL,ALL,,LOW,1.0,LOW,,0.0,,,-2.9,-74.4,2,2,Indonesia,IDPPO
Palembang,2022,18,ALL,ALL,1.1,LOW,3.3,LOW,0.9,2.2,-0.2,-15.4,0.4,13.8,30,25,Indonesia,IDPLM
Paiton,2022,18,ALL,ALL,2.0,LOW,1.2,LOW,0.8,0.7,1.3,185.7,-1.7,-58.6,5,5,Indonesia,IDPAI
Padangbai,2022,18,ALL,ALL,0.0,HIGH,0.1,HIGH,,0.4,,,0.0,0.0,54,14,Indonesia,
Pacitan,2022,18,ALL,ALL,1.5,MEDIUM,1.5,MEDIUM,,1.1,1.5,0.0,0.8,114.3,2,2,Indonesia,ID5PP
Muntok,2022,18,ALL,ALL,,LOW,6.8,LOW,,2.0,,,5.4,385.7,6,1,Indonesia,IDMUO
"Muara satui",2022,18,ALL,ALL,,LOW,7.7,LOW,,,,,6.3,450.0,1,1,Indonesia,IDSTU
"Muara pantai",2022,18,ALL,ALL,,LOW,6.4,LOW,,2.0,,,1.6,33.3,4,4,Indonesia,IDMPN
"Migas lng batui",2022,18,ALL,ALL,,LOW,1.4,LOW,,0.4,,,-0.4,-22.2,2,2,Indonesia,
Meulaboh,2022,18,ALL,ALL,0.1,MEDIUM,1.0,MEDIUM,,,,,0.5,100.0,1,1,Indonesia,IDMEQ
Merauke,2022,18,ALL,ALL,0.3,MEDIUM,1.6,MEDIUM,,2.2,-0.2,-40.0,-0.4,-20.0,3,3,Indonesia,IDMKQ
Merak,2022,18,ALL,ALL,0.3,HIGH,0.0,HIGH,1.2,0.6,0.1,50.0,0.0,0.0,742,98,Indonesia,IDMRK
"Mekar putih",2022,18,ALL,ALL,0.3,MEDIUM,1.6,MEDIUM,0.0,1.5,-0.4,-57.1,0.5,45.5,2,2,Indonesia,
Maumere,2022,18,ALL,ALL,,LOW,19.0,LOW,,,,,17.1,900.0,1,1,Indonesia,IDMOF
Manokwari,2022,18,ALL,ALL,0.4,LOW,0.7,LOW,2.9,0.5,-0.1,-20.0,-0.1,-12.5,7,7,Indonesia,IDMKW
Mangkasa,2022,18,ALL,ALL,0.9,MEDIUM,1.0,MEDIUM,,,-2.9,-76.3,-0.1,-9.1,1,1,Indonesia,
Manggis,2022,18,ALL,ALL,2.0,LOW,0.8,LOW,1.7,0.4,0.7,53.9,-0.4,-33.3,10,8,Indonesia,IDMGB
Malahayati,2022,18,ALL,ALL,0.3,MEDIUM,1.3,MEDIUM,3.2,0.5,-0.1,-25.0,0.2,18.2,4,4,Indonesia,
Makassar,2022,18,ALL,ALL,2.2,LOW,1.2,LOW,2.5,4.7,1.6,266.7,0.1,9.1,23,22,Indonesia,IDMAK
Luwuk,2022,18,ALL,ALL,,LOW,36.5,LOW,,19.7,,,34.0,1360.0,3,2,Indonesia,IDLUW
"Lubuk gaung",2022,18,ALL,ALL,0.4,MEDIUM,1.1,MEDIUM,1.9,0.6,-0.6,-60.0,-0.2,-15.4,11,11,Indonesia,
Lembar,2022,18,ALL,ALL,1.3,MEDIUM,0.3,MEDIUM,1.7,2.9,0.3,30.0,0.1,50.0,76,23,Indonesia,IDLBR
"Lawe lawe",2022,18,ALL,ALL,0.5,MEDIUM,1.3,MEDIUM,1.8,0.6,-1.5,-75.0,0.2,18.2,5,5,Indonesia,IDLLA
Kupang,2022,18,ALL,ALL,1.8,HIGH,1.4,HIGH,2.4,1.4,1.0,125.0,-0.2,-12.5,22,11,Indonesia,IDKOE
Kumai,2022,18,ALL,ALL,,MEDIUM,0.9,MEDIUM,,1.7,,,-0.2,-18.2,4,4,Indonesia,IDKUM
"Krueng geukueh",2022,18,ALL,ALL,0.5,LOW,11.0,LOW,1.5,22.1,0.4,400.0,7.0,175.0,5,5,Indonesia,IDKGH
Kotabaru,2022,18,ALL,ALL,0.3,MEDIUM,0.9,MEDIUM,0.0,1.1,-0.2,-40.0,-1.9,-67.9,7,5,Indonesia,IDKBU
Kolaka,2022,18,ALL,ALL,0.7,LOW,0.8,LOW,,3.5,0.7,0.0,0.1,14.3,14,8,Indonesia,IDKOL
Kijang,2022,18,ALL,ALL,,LOW,0.4,LOW,,,,,-0.4,-50.0,1,1,Indonesia,IDKIJ
Ketapang,2022,18,ALL,ALL,0.3,HIGH,0.0,HIGH,1.6,1.3,,,0.0,0.0,568,35,Indonesia,IDKTG
Kariangau,2022,18,ALL,ALL,0.0,HIGH,1.1,HIGH,1.2,9.0,0.0,0.0,-0.4,-26.7,219,24,Indonesia,IDKRG
Kalbut,2022,18,ALL,ALL,1.3,HIGH,1.8,HIGH,,8.7,,,1.0,125.0,21,17,Indonesia,IDKSO
Kalabahi,2022,18,ALL,ALL,,MEDIUM,3.6,MEDIUM,,5.1,,,3.1,620.0,4,3,Indonesia,IDKBH
Kabil,2022,18,ALL,ALL,0.8,HIGH,0.1,HIGH,4.2,4.5,-0.5,-38.5,-0.1,-50.0,60,17,Indonesia,IDKAB
Jayapura,2022,18,ALL,ALL,0.7,LOW,2.0,LOW,5.4,7.0,0.0,0.0,0.7,53.9,7,6,Indonesia,IDDJJ
Jakarta,2022,18,ALL,ALL,0.5,LOW,1.0,LOW,3.6,5.1,0.1,25.0,-0.2,-16.7,116,107,Indonesia,IDJKT
Gresik,2022,18,ALL,ALL,1.9,LOW,1.9,LOW,3.1,6.6,0.4,26.7,-0.6,-24.0,24,24,Indonesia,IDGRE
Gilimanuk,2022,18,ALL,ALL,0.0,HIGH,0.0,HIGH,0.0,1.4,,,0.0,0.0,640,22,Indonesia,IDGIL
Futong,2022,18,ALL,ALL,1.1,LOW,2.5,LOW,0.8,1.3,1.0,1000.0,-0.6,-19.4,4,4,Indonesia,IDFTG
"Fak fak",2022,18,ALL,ALL,,MEDIUM,0.4,MEDIUM,,0.1,,,0.1,33.3,3,3,Indonesia,IDFKQ
Ende,2022,18,ALL,ALL,,MEDIUM,0.6,MEDIUM,,0.1,,0.0,0.2,50.0,2,2,Indonesia,IDENE
Dumai,2022,18,ALL,ALL,0.3,LOW,0.8,LOW,3.0,1.3,-1.8,-85.7,-1.0,-55.6,50,20,Indonesia,IDDUM
Ciwandan,2022,18,ALL,ALL,0.3,LOW,0.6,LOW,1.2,1.2,0.0,0.0,-0.4,-40.0,26,21,Indonesia,IDCIW
Cirebon,2022,18,ALL,ALL,0.2,LOW,1.6,LOW,0.1,0.5,-7.0,-97.2,-3.7,-69.8,2,2,Indonesia,IDCBN
Cilegon,2022,18,ALL,ALL,,LOW,25.1,LOW,,19.1,,,19.6,356.4,2,2,Indonesia,IDCGN
Cilacap,2022,18,ALL,ALL,1.7,MEDIUM,1.8,MEDIUM,1.3,4.2,1.0,142.9,0.0,0.0,12,11,Indonesia,IDCXP
Cigading,2022,18,ALL,ALL,1.5,MEDIUM,5.0,MEDIUM,1.2,2.1,1.1,275.0,2.0,66.7,8,8,Indonesia,IDCIG
"Celukan bawang",2022,18,ALL,ALL,6.5,LOW,13.4,LOW,,,6.4,6400.0,4.4,48.9,1,1,Indonesia,IDCEB
Bunati,2022,18,ALL,ALL,0.1,MEDIUM,4.9,MEDIUM,,2.5,,,-0.9,-15.5,7,7,Indonesia,IDBUT
Bontang,2022,18,ALL,ALL,0.7,LOW,4.1,LOW,1.4,3.9,-0.6,-46.1,1.4,51.9,21,20,Indonesia,IDBXT
Bitung,2022,18,ALL,ALL,0.4,MEDIUM,1.3,MEDIUM,0.6,5.2,-0.2,-33.3,-0.6,-31.6,10,9,Indonesia,IDBIT
Biringkassi,2022,18,ALL,ALL,,LOW,5.0,LOW,,4.7,,,3.1,163.2,2,2,Indonesia,IDBIR
Benoa,2022,18,ALL,ALL,0.1,MEDIUM,1.1,MEDIUM,0.1,0.5,0.1,0.0,0.0,0.0,7,7,Indonesia,IDBOA
Bengkulu,2022,18,ALL,ALL,,LOW,4.7,LOW,,4.5,,,3.0,176.5,2,2,Indonesia,IDBKS
Benete,2022,18,ALL,ALL,1.9,MEDIUM,1.3,MEDIUM,,,,,0.0,0.0,1,1,Indonesia,IDBEN
Belawan,2022,18,ALL,ALL,0.8,LOW,1.5,LOW,1.8,7.7,0.3,60.0,-0.3,-16.7,19,19,Indonesia,IDBLW
"Batu ampar",2022,18,ALL,ALL,0.3,LOW,0.6,LOW,3.1,5.6,-0.3,-50.0,-0.3,-33.3,34,12,Indonesia,IDBUR
Banjarmasin,2022,18,ALL,ALL,0.5,LOW,1.7,LOW,1.5,7.0,0.2,66.7,0.8,88.9,20,18,Indonesia,IDBDJ
"Banda aceh",2022,18,ALL,ALL,,LOW,0.1,LOW,,0.2,,,-0.5,-83.3,19,1,Indonesia,IDBTJ
Balikpapan,2022,18,ALL,ALL,1.6,LOW,1.5,LOW,3.0,0.8,-0.4,-20.0,0.2,15.4,23,22,Indonesia,IDBPN
Bakauheni,2022,18,ALL,ALL,0.1,HIGH,0.1,HIGH,0.9,0.6,,,0.0,0.0,680,53,Indonesia,IDTKG
Bajoe,2022,18,ALL,ALL,,LOW,1.9,LOW,,1.0,,,1.1,137.5,10,5,Indonesia,
Ampenan,2022,18,ALL,ALL,0.1,MEDIUM,0.7,MEDIUM,0.3,0.2,0.1,0.0,-0.1,-12.5,5,5,Indonesia,IDAMP
Ambon,2022,18,ALL,ALL,0.0,LOW,2.4,LOW,,1.3,-0.1,-100.0,1.7,242.9,6,4,Indonesia,IDAMQ
Amamapare,2022,18,ALL,ALL,1.5,LOW,2.8,LOW,1.1,2.4,0.1,7.1,1.7,154.6,4,4,Indonesia,IDAMA
"Adang bay",2022,18,ALL,ALL,0.3,MEDIUM,5.0,MEDIUM,23.7,1.5,,,2.2,78.6,7,7,Indonesia,IDADB
Wayame,2022,17,ALL,ALL,1.0,HIGH,1.4,HIGH,5.2,1.2,0.0,0.0,0.1,7.7,16,15,Indonesia,
Waingapu,2022,17,ALL,ALL,0.3,LOW,0.3,LOW,0.7,0.2,,,-0.1,-25.0,6,6,Indonesia,IDWGP
Tuban,2022,17,ALL,ALL,0.8,LOW,1.0,LOW,0.9,1.7,-0.6,-42.9,-0.2,-16.7,21,19,Indonesia,IDTBN
Tual,2022,17,ALL,ALL,0.9,LOW,20.5,LOW,0.5,17.5,0.8,800.0,7.2,54.1,19,11,Indonesia,IDTUA
Tolitoli,2022,17,ALL,ALL,,LOW,1.8,LOW,,,,,-1.6,-47.1,1,1,Indonesia,IDTLI
Ternate,2022,17,ALL,ALL,0.5,LOW,0.8,LOW,0.3,11.7,-0.1,-16.7,-16.0,-95.2,21,5,Indonesia,IDTTE
Telukbayur,2022,17,ALL,ALL,0.5,LOW,1.4,LOW,1.8,8.7,0.2,66.7,-1.1,-44.0,23,22,Indonesia,IDTBR
"Teluk semangka",2022,17,ALL,ALL,,LOW,1.6,LOW,,0.2,,,1.6,0.0,2,2,Indonesia,IDSMB
Tarjun,2022,17,ALL,ALL,,LOW,4.9,LOW,,0.6,,,1.5,44.1,3,3,Indonesia,IDTAR
Tarakan,2022,17,ALL,ALL,,LOW,2.3,LOW,,0.6,,,1.0,76.9,2,2,Indonesia,IDTRK
Tarahan,2022,17,ALL,ALL,0.5,LOW,1.5,LOW,7.7,9.2,0.2,66.7,0.4,36.4,13,11,Indonesia,IDTRH
"Tanjung uban",2022,17,ALL,ALL,1.4,LOW,0.3,LOW,3.0,6.9,-2.1,-60.0,0.2,200.0,42,22,Indonesia,IDITN
"Tanjung pemancingan",2022,17,ALL,ALL,,LOW,0.9,LOW,,0.8,,,-1.6,-64.0,2,2,Indonesia,IDTPN
"Tanjung jati",2022,17,ALL,ALL,1.8,MEDIUM,3.0,MEDIUM,1.2,1.0,-1.4,-43.8,-17.1,-85.1,4,4,Indonesia,
"Tanjung bara",2022,17,ALL,ALL,2.6,LOW,1.0,LOW,17.7,0.4,-3.2,-55.2,0.0,0.0,9,8,Indonesia,IDTBA
Tangguh,2022,17,ALL,ALL,1.7,LOW,2.2,LOW,1.8,1.1,-0.1,-5.6,0.8,57.1,2,2,Indonesia,
Suralaya,2022,17,ALL,ALL,2.6,HIGH,1.2,HIGH,1.4,1.6,2.1,420.0,-0.1,-7.7,21,18,Indonesia,IDSRL
Surabaya,2022,17,ALL,ALL,0.9,LOW,0.9,LOW,1.8,4.3,0.3,50.0,0.1,12.5,164,130,Indonesia,IDSUB
"Sungai pakning",2022,17,ALL,ALL,1.1,MEDIUM,2.0,MEDIUM,1.1,0.1,0.5,83.3,-0.1,-4.8,2,2,Indonesia,IDSEQ
Sorong,2022,17,ALL,ALL,4.8,LOW,1.1,LOW,4.3,10.7,-1.1,-18.6,-0.7,-38.9,8,7,Indonesia,IDSOQ
Sibolga,2022,17,ALL,ALL,0.5,LOW,5.7,LOW,,9.7,,,0.0,0.0,9,5,Indonesia,IDSLG
Semarang,2022,17,ALL,ALL,0.5,HIGH,1.0,HIGH,3.9,4.5,0.0,0.0,0.2,25.0,43,38,Indonesia,IDSRG
Saumlaki,2022,17,ALL,ALL,1.7,LOW,0.2,LOW,2.4,0.3,1.2,240.0,-1.0,-83.3,2,2,Indonesia,IDSXK
Sampit,2022,17,ALL,ALL,0.5,MEDIUM,1.4,MEDIUM,1.0,5.6,-0.2,-28.6,0.1,7.7,13,11,Indonesia,IDSMQ
Samarinda,2022,17,ALL,ALL,0.1,LOW,2.2,LOW,,3.6,-0.5,-83.3,0.8,57.1,13,13,Indonesia,IDSRI
Pontianak,2022,17,ALL,ALL,0.5,LOW,2.0,LOW,0.4,3.7,-0.2,-28.6,-0.5,-20.0,26,24,Indonesia,IDPNK
Pomalaa,2022,17,ALL,ALL,,LOW,2.0,LOW,,,,,-0.8,-28.6,1,1,Indonesia,IDPUM
Pomako,2022,17,ALL,ALL,3.6,MEDIUM,2.3,MEDIUM,4.8,4.6,-0.4,-10.0,-0.3,-11.5,8,6,Indonesia,IDPMK
Pekanbaru,2022,17,ALL,ALL,,MEDIUM,2.4,MEDIUM,,,,,1.1,84.6,1,1,Indonesia,IDPKU
Panjang,2022,17,ALL,ALL,0.3,HIGH,0.9,HIGH,11.1,13.5,-0.8,-72.7,-1.2,-57.1,33,22,Indonesia,IDPNJ
"Pangkalan susu",2022,17,ALL,ALL,1.7,MEDIUM,1.1,MEDIUM,1.7,0.0,0.1,6.3,0.0,0.0,2,1,Indonesia,IDPKS
Palembang,2022,17,ALL,ALL,1.3,LOW,2.9,LOW,3.1,1.5,0.3,30.0,0.6,26.1,27,26,Indonesia,IDPLM
Paiton,2022,17,ALL,ALL,0.7,LOW,2.9,LOW,0.9,1.0,,,1.3,81.3,5,5,Indonesia,IDPAI
Padangbai,2022,17,ALL,ALL,,HIGH,0.1,HIGH,,1.0,,,0.0,0.0,50,12,Indonesia,
Pacitan,2022,17,ALL,ALL,0.0,LOW,2.1,LOW,,,-0.8,-100.0,-0.1,-4.5,1,1,Indonesia,ID5PP
Nunukan,2022,17,ALL,ALL,,MEDIUM,2.4,MEDIUM,,2.1,,,0.1,4.3,5,5,Indonesia,IDNNX
Muntok,2022,17,ALL,ALL,,LOW,1.4,LOW,,1.1,,,-58.9,-97.7,4,1,Indonesia,IDMUO
"Muara satui",2022,17,ALL,ALL,,MEDIUM,1.4,MEDIUM,,4.9,,,-3.6,-72.0,5,5,Indonesia,IDSTU
"Muara pantai",2022,17,ALL,ALL,,LOW,4.8,LOW,,1.9,,,,,8,8,Indonesia,IDMPN
"Migas lng batui",2022,17,ALL,ALL,,MEDIUM,1.9,MEDIUM,,0.1,,,0.1,5.6,2,2,Indonesia,
Meulaboh,2022,17,ALL,ALL,,LOW,0.5,LOW,,,,,-0.3,-37.5,1,1,Indonesia,IDMEQ
Merauke,2022,17,ALL,ALL,0.5,MEDIUM,2.0,MEDIUM,0.9,8.8,0.1,25.0,0.8,66.7,3,3,Indonesia,IDMKQ
Merak,2022,17,ALL,ALL,0.2,HIGH,0.0,HIGH,1.0,0.7,-0.1,-33.3,0.0,0.0,679,91,Indonesia,IDMRK
"Mekar putih",2022,17,ALL,ALL,0.7,LOW,1.1,LOW,1.1,0.6,-0.3,-30.0,-0.7,-38.9,5,5,Indonesia,
Maumere,2022,17,ALL,ALL,,LOW,1.9,LOW,,2.5,,,0.4,26.7,4,4,Indonesia,IDMOF
Manokwari,2022,17,ALL,ALL,0.2,MEDIUM,0.8,MEDIUM,,0.2,0.0,0.0,0.1,14.3,3,3,Indonesia,IDMKW
Manggis,2022,17,ALL,ALL,1.3,LOW,1.2,LOW,3.6,0.5,-0.5,-27.8,0.1,9.1,10,9,Indonesia,IDMGB
Malili,2022,17,ALL,ALL,1.9,MEDIUM,2.5,MEDIUM,,,,,0.6,31.6,1,1,Indonesia,IDMLI
Makassar,2022,17,ALL,ALL,0.6,LOW,1.1,LOW,1.0,2.3,0.3,100.0,0.3,37.5,41,39,Indonesia,IDMAK
Luwuk,2022,17,ALL,ALL,,LOW,2.5,LOW,,14.2,,,1.2,92.3,7,5,Indonesia,IDLUW
"Lubuk tutung",2022,17,ALL,ALL,,MEDIUM,2.2,MEDIUM,,,,,-1.0,-31.3,1,1,Indonesia,IDLTT
"Lubuk gaung",2022,17,ALL,ALL,1.0,HIGH,1.3,HIGH,2.4,1.1,0.5,100.0,-0.4,-23.5,25,24,Indonesia,
Lembar,2022,17,ALL,ALL,1.0,LOW,0.2,LOW,2.7,1.3,0.0,0.0,-0.3,-60.0,96,23,Indonesia,IDLBR
"Lawe lawe",2022,17,ALL,ALL,2.0,MEDIUM,1.1,MEDIUM,,0.6,0.2,11.1,-1.2,-52.2,2,2,Indonesia,IDLLA
Larantuka,2022,17,ALL,ALL,,MEDIUM,1.0,MEDIUM,,,,,0.3,42.9,1,1,Indonesia,IDLKA
Kupang,2022,17,ALL,ALL,0.8,LOW,1.6,LOW,1.9,5.1,-0.2,-20.0,0.4,33.3,17,13,Indonesia,IDKOE
Kumai,2022,17,ALL,ALL,,LOW,0.9,LOW,,1.8,,,-0.2,-18.2,5,3,Indonesia,IDKUM
"Krueng geukueh",2022,17,ALL,ALL,0.1,LOW,4.0,LOW,0.3,5.0,-0.3,-75.0,1.6,66.7,7,7,Indonesia,IDKGH
Kotabaru,2022,17,ALL,ALL,0.5,LOW,2.8,LOW,0.0,21.6,0.4,400.0,0.9,47.4,7,7,Indonesia,IDKBU
Kolaka,2022,17,ALL,ALL,0.0,HIGH,0.7,HIGH,,0.9,,,-0.1,-12.5,18,8,Indonesia,IDKOL
Kijang,2022,17,ALL,ALL,,MEDIUM,0.8,MEDIUM,,0.1,,,0.5,166.7,2,2,Indonesia,IDKIJ
Ketapang,2022,17,ALL,ALL,,MEDIUM,0.0,MEDIUM,,0.6,,,0.0,0.0,523,39,Indonesia,IDKTG
Kariangau,2022,17,ALL,ALL,0.0,LOW,1.5,LOW,2.0,15.9,0.0,0.0,-0.4,-21.1,260,40,Indonesia,IDKRG
Kalbut,2022,17,ALL,ALL,,LOW,0.8,LOW,,4.4,,,-1.0,-55.6,15,12,Indonesia,IDKSO
Kalabahi,2022,17,ALL,ALL,,MEDIUM,0.5,MEDIUM,,1.5,,,-53.0,-99.1,5,3,Indonesia,IDKBH
Kabil,2022,17,ALL,ALL,1.3,LOW,0.2,LOW,8.2,6.5,0.7,116.7,0.1,100.0,44,14,Indonesia,IDKAB
Jayapura,2022,17,ALL,ALL,0.8,LOW,1.0,LOW,,0.2,0.1,14.3,-0.3,-23.1,3,3,Indonesia,IDDJJ
Jakarta,2022,17,ALL,ALL,0.4,LOW,1.2,LOW,3.5,7.9,0.0,0.0,-0.2,-14.3,229,172,Indonesia,IDJKT
Gresik,2022,17,ALL,ALL,1.5,LOW,2.5,LOW,4.0,5.6,0.5,50.0,0.5,25.0,37,37,Indonesia,IDGRE
Gilimanuk,2022,17,ALL,ALL,,MEDIUM,0.0,MEDIUM,,0.5,,,0.0,0.0,559,22,Indonesia,IDGIL
Garongkong,2022,17,ALL,ALL,,LOW,25.9,LOW,,25.1,,,-11.9,-31.5,2,2,Indonesia,
Futong,2022,17,ALL,ALL,0.1,MEDIUM,3.1,MEDIUM,0.1,1.1,-2.4,-96.0,0.7,29.2,7,7,Indonesia,IDFTG
"Fak fak",2022,17,ALL,ALL,0.6,LOW,0.3,LOW,0.6,1.2,0.6,0.0,-0.2,-40.0,5,5,Indonesia,IDFKQ
Ende,2022,17,ALL,ALL,0.0,MEDIUM,0.4,MEDIUM,0.0,0.5,-0.5,-100.0,0.0,0.0,6,4,Indonesia,IDENE
Dumai,2022,17,ALL,ALL,0.3,LOW,1.5,LOW,3.5,1.1,-1.8,-85.7,-0.3,-16.7,50,26,Indonesia,IDDUM
Ciwandan,2022,17,ALL,ALL,0.3,LOW,1.0,LOW,1.2,1.6,0.0,0.0,-0.6,-37.5,27,26,Indonesia,IDCIW
Cirebon,2022,17,ALL,ALL,7.2,LOW,5.3,LOW,3.7,1.2,6.4,800.0,3.7,231.3,3,3,Indonesia,IDCBN
Cilegon,2022,17,ALL,ALL,1.0,HIGH,5.5,HIGH,,14.9,0.7,233.3,-10.2,-65.0,13,12,Indonesia,IDCGN
Cilacap,2022,17,ALL,ALL,0.7,HIGH,1.8,HIGH,3.3,2.8,-0.3,-30.0,0.0,0.0,17,13,Indonesia,IDCXP
