"Vessel Name","Port Call Type","Port Type","Port At Call",Ata/atd,"Voyage Origin Port","Leg Start Port/anch","In Transit Port Calls",Mmsi,"Voyage Origin Port Atd","Vessel Type - Generic","Capacity - Dwt"
BOEMLAFJORD,DEPARTURE,Port,LANGEVAG,"2022-06-27 11:08:00",,,"Not in Transit",257088660,,Passenger,
"ISLAND HOME",DEPARTURE,Port,"VINEYARD HAVEN","2022-06-27 11:08:00",,,"Not in Transit",367130910,,Passenger,800
"CAPTAIN ET ROGERS",ARRIVAL,Port,HALIFAX,"2022-06-27 11:08:00",HALIFAX,HALIFAX,"Not in Transit",316022239,"2022-06-27 08:22:00","Special Craft",4
"OKSFJORD 1",DEPARTURE,Port,OKSFJORD,"2022-06-27 11:08:00",,,"Not in Transit",258094960,,"Pleasure Craft",
"HIGHSPEED 4",ARRIVAL,Port,KOUFONISI,"2022-06-27 11:08:00",NAXOS,NAXOS,"Not in Transit",239658000,"2022-06-27 10:20:00","High Speed Craft",470
KOSTERFJORD,ARRIVAL,Port,VETTNET,"2022-06-27 11:08:00",STROMSTAD,STROMSTAD,"Not in Transit",265386000,"2022-06-27 10:45:00",Passenger,
DAMAFRAN,DEPARTURE,Port,CORUNA,"2022-06-27 11:08:00",,,"Not in Transit",227536000,,Fishing,
"IVAN QUINN",DEPARTURE,Port,CAP-AUX-MEULES,"2022-06-27 11:08:00",,,"Not in Transit",316014656,,Passenger,32
BEBOP2,DEPARTURE,Port,"LA ROCHELLE VIEUX","2022-06-27 11:08:00",,,"Not in Transit",227014260,,"Sailing Vessel",
BELGRANO,ARRIVAL,Port,BUCEO,"2022-06-27 11:08:00",BUCEO,BUCEO,"Not in Transit",770576485,"2022-06-27 10:11:00","Special Craft",
"PATTHARA SAHATHAI1",DEPARTURE,Port,"LAEM CHABANG","2022-06-27 11:08:00",,,"Not in Transit",567001859,,Cargo,
"JULES VERNE",ARRIVAL,Port,MILLINGEN,"2022-06-27 11:08:00",ARNHEM,ARNHEM,"Not in Transit",211808520,"2022-06-27 10:08:00",Passenger,
"EL VIAJERO",DEPARTURE,Port,DELFZIJL,"2022-06-27 11:08:00",,,"Not in Transit",244146104,,Cargo,
"SAMSON SUPPORTER",DEPARTURE,Port,"RAS AL MISHAB","2022-06-27 11:08:00",,,"Not in Transit",371184000,,"Special Craft",82
VYATICH,DEPARTURE,Port,PRIMORSK,"2022-06-27 11:08:00",,,"Not in Transit",273434680,,Tug,151
RAPIDO,DEPARTURE,Port,ANTWERP,"2022-06-27 11:08:00",,,"In Transit",244660977,,Cargo,
"TARUA 306",ARRIVAL,Anchorage,"LAEM CHABANG ANCH","2022-06-27 11:08:00","LAEM CHABANG","LAEM CHABANG","Not in Transit",567111306,"2022-06-27 11:05:00",Tug,186
TREKVOGEL,DEPARTURE,Port,SLIEDRECHT,"2022-06-27 11:08:00",,,"In Transit",244750301,,Tug,
SKANE,ARRIVAL,Port,TRELLEBORG,"2022-06-27 11:08:00",ROSTOCK,ROSTOCK,"Not in Transit",265463000,"2022-06-27 05:51:00",Passenger,8787
KONGEN,ARRIVAL,Port,OSLO,"2022-06-27 11:08:00",OSLO,OSLO,"Not in Transit",258509000,"2022-06-27 10:52:00",Passenger,150
"CAPT MARK SUMMERS",DEPARTURE,Port,NEWBURGH,"2022-06-27 11:08:00",,,"Not in Transit",366990570,,Passenger,
"YOU LIAN TUO 18",ARRIVAL,Port,SHENZHEN,"2022-06-27 11:08:00",GUANGZHOU,"ZHUJIAN KOU ANCH","Not in Transit",413484130,"2022-05-16 06:21:00",Tug,
"GNV BRIDGE",DEPARTURE,Port,"PALMA DE MALLORCA","2022-06-27 11:08:00",,,"Not in Transit",247435900,,Passenger,8632
PROTEUS,ARRIVAL,Port,MANTOUDI,"2022-06-27 11:08:00",GLOSSA,GLOSSA,"Not in Transit",240567000,"2022-06-27 09:35:00",Passenger,726
PREMUDA,ARRIVAL,Port,DUBROVNIK,"2022-06-27 11:08:00",KOLOCEP,KOLOCEP,"Not in Transit",238115640,"2022-06-27 10:52:00",Passenger,20
MERIDIAN,DEPARTURE,Port,"ST AGNES","2022-06-27 11:08:00",,,"Not in Transit",235008613,,Passenger,
"TSUN WING 1",ARRIVAL,Port,"HONG KONG","2022-06-27 11:08:00","CHEK LAP KOK","CHEK LAP KOK","Not in Transit",477996459,"2022-06-27 11:06:00","Pleasure Craft",
ALPHECCA,DEPARTURE,Port,STELLENDAM,"2022-06-27 11:08:00",,,"Not in Transit",244740158,,"Pleasure Craft",
"RS ESMEE",ARRIVAL,Port,UTRECHT,"2022-06-27 11:08:00",LEMMER,LEMMER,"Not in Transit",244250702,"2022-06-24 11:29:00",Cargo,
"ZIFFA HELWA",DEPARTURE,Port,AVLAKIA,"2022-06-27 11:08:00",,,"Not in Transit",215000669,,"Sailing Vessel",
"LA NINA",ARRIVAL,Port,WORMERVEER,"2022-06-27 11:08:00",ZAANDAM,ZAANDAM,"Not in Transit",211190670,"2022-06-27 11:07:00","Sailing Vessel",
GISKOEY,DEPARTURE,Port,HAREID,"2022-06-27 11:08:00",,,"Not in Transit",257054910,,Passenger,
VIXEN,ARRIVAL,Port,STOCKHOLM,"2022-06-27 11:08:00",STOCKHOLM,STOCKHOLM,"Not in Transit",265674790,"2022-06-20 16:00:00",Cargo,
"EOLIAN STAR",DEPARTURE,Port,PANAREA,"2022-06-27 11:08:00",,,"Not in Transit",247132300,,Passenger,
"ERNST REUTER",ARRIVAL,Port,BERLIN,"2022-06-27 11:08:00",BERLIN,BERLIN,"Not in Transit",211519460,"2022-06-27 10:18:00",Passenger,
RAUNEFJORD,ARRIVAL,Port,ARSVAGEN,"2022-06-27 11:08:00",MORTAVIKA,MORTAVIKA,"Not in Transit",258223000,"2022-06-27 10:49:00",Passenger,1025
BAROSS,ARRIVAL,Port,"YBBS PERSENBEUG","2022-06-27 11:08:00",ALTENWORTH,ALTENWORTH,"Not in Transit",203999465,"2022-06-26 21:03:00",Tanker,
EUGENIO,DEPARTURE,Port,KOUDUM,"2022-06-27 11:08:00",,,"In Transit",244830521,,"Sailing Vessel",
HAYABUSA,ARRIVAL,Port,CHIBA,"2022-06-27 11:08:00",ANEGASAKI,ANEGASAKI,"Not in Transit",431001109,"2022-06-27 10:25:00",Tug,
"GUERRERO QUINTO",ARRIVAL,Port,"ISLA CRISTINA","2022-06-27 11:08:00","ISLA CANELA","ISLA CANELA","Not in Transit",225983791,"2022-06-27 10:27:00",Passenger,
DIANA,ARRIVAL,Port,SULINA,"2022-06-27 11:08:00",TULCEA,TULCEA,"Not in Transit",264162558,"2022-06-27 10:09:00",Passenger,
BATAAF,DEPARTURE,Port,SCHELLINGWOUDE,"2022-06-27 11:08:00",,,"Not in Transit",244060616,,"Pleasure Craft",
HAALOGALAND,DEPARTURE,Port,REFSNES,"2022-06-27 11:08:00",,,"Not in Transit",258472000,,Passenger,511
"DIMITRIOS S",DEPARTURE,Port,PERAMA,"2022-06-27 11:08:00",,,"Not in Transit",239672200,,Passenger,247
"HORISHNI PLAVNI",DEPARTURE,Port,ESZTERGOM,"2022-06-27 11:08:00",,,"In Transit",272136300,,Cargo,
DRITTO,DEPARTURE,Port,TARANTO,"2022-06-27 11:08:00",,,"Not in Transit",247269900,,Tug,
"CG 229",DEPARTURE,Port,PARADIP,"2022-06-27 11:08:00",,,"Not in Transit",419030900,,"Search and Rescue",
YEMANJA,DEPARTURE,Port,MYLOR,"2022-06-27 11:08:00",,,"Not in Transit",235030314,,"Sailing Vessel",
"M.S.SHAHAN II",DEPARTURE,Port,"PLUM ISLAND","2022-06-27 11:08:00",,,"Not in Transit",367181880,,Passenger,
JACOBUS,DEPARTURE,Port,GRIMLINGHAUSEN,"2022-06-27 11:08:00",,,"In Transit",244650495,,Cargo,
"MONOGIRL 2",ARRIVAL,Port,GRIMSBY,"2022-06-27 11:08:00","TETNEY TERMINAL","TETNEY TERMINAL","Not in Transit",235064475,"2022-06-27 10:24:00","Special Craft",
"WALRUS V",DEPARTURE,Port,WOUDRICHEM,"2022-06-27 11:08:00",,,"Not in Transit",244660409,,Tug,
JIANGSUDU22HAO,ARRIVAL,Port,JINGJIANG,"2022-06-27 11:08:00",JIANGYIN,JIANGYIN,"Not in Transit",413839382,"2022-06-27 11:00:00",Passenger,
GIANO,DEPARTURE,Port,REGGIO,"2022-06-27 11:08:00",,,"Not in Transit",247054200,,Passenger,1459
"DINA MARIE",ARRIVAL,Port,HEROY,"2022-06-27 11:08:00",SANDNESSJOEN,SANDNESSJOEN,"Not in Transit",258016230,"2022-06-19 07:55:00","Pleasure Craft",
"FERRY FUKUOKA",DEPARTURE,Port,OSAKA,"2022-06-27 11:08:00",,,"Not in Transit",431018431,,Passenger,
"KOC DHAFER",ARRIVAL,Port,"MINA AL AHMADI","2022-06-27 11:08:00",SHUAIBA,SHUAIBA,"Not in Transit",447213000,"2022-06-27 11:06:00",Tug,89
AIANTAS,ARRIVAL,Port,FANEROMENI,"2022-06-27 11:08:00",MEGARA,MEGARA,"Not in Transit",237034400,"2022-06-27 11:04:00",Passenger,
"JOLIE BRISE",ARRIVAL,Port,"LE HAVRE","2022-06-27 11:08:00","LE HAVRE ANCH","LE HAVRE ANCH","Not in Transit",227563620,"2022-06-27 01:16:00",Fishing,
SULTAN,ARRIVAL,Port,VIGO,"2022-06-27 11:08:00",VIGO,VIGO,"Not in Transit",224178920,"2022-06-22 09:59:00","Sailing Vessel",
"SUN CRU",DEPARTURE,Port,SINGAPORE,"2022-06-27 11:08:00",,,"Not in Transit",563076670,,Cargo,
"YUE XIN HUI HUO 328",DEPARTURE,Port,MACAU,"2022-06-27 11:08:00",,,"Not in Transit",413775308,,Cargo,
TENNA,DEPARTURE,Port,HEROY,"2022-06-27 11:08:00",,,"Not in Transit",258696000,,Passenger,360
"JOHN H",DEPARTURE,Port,"ORIENT POINT","2022-06-27 11:08:00",,,"Not in Transit",366934890,,Passenger,
"GORINCHEM X",ARRIVAL,Port,WERKENDAM,"2022-06-27 11:08:00",GORINCHEM,GORINCHEM,"Not in Transit",244620184,"2022-06-27 10:55:00",Passenger,
AUSZEIT,ARRIVAL,Port,BASTIA,"2022-06-27 11:08:00","PORTO FERRAIO","PORTO FERRAIO","Not in Transit",211222440,"2022-06-26 09:30:00","Pleasure Craft",
DAMIATE,ARRIVAL,Port,PANNERDEN,"2022-06-27 11:08:00",DUISBURG,DUISBURG,"Not in Transit",244700319,"2022-06-27 06:12:00",Cargo,
SVETKO,DEPARTURE,Port,IZOLA,"2022-06-27 11:08:00",,,"Not in Transit",278594000,,Passenger,
"SNOWBIRD OF RHU",ARRIVAL,Port,FALMOUTH,"2022-06-27 11:08:00",HELFORD,HELFORD,"Not in Transit",235110985,"2022-06-26 10:13:00","Pleasure Craft",
"FENG ZE YUAN",ARRIVAL,Port,"HONG KONG","2022-06-27 11:08:00",XIAMEN,XIAMEN,"Not in Transit",477407600,"2022-06-26 08:55:00",Cargo,8214
"KING SARON",DEPARTURE,Port,SYMI,"2022-06-27 11:08:00",,,"Not in Transit",240343000,,Passenger,54
REINMAR,ARRIVAL,Port,ZUTPHEN,"2022-06-27 11:08:00",FRIEDRICHSFELD,FRIEDRICHSFELD,"Not in Transit",244660381,"2022-06-27 04:35:00",Cargo,
"BELUMI 1",DEPARTURE,Port,LOCHEM,"2022-06-27 11:08:00",,,"In Transit",211394690,,Cargo,
LJSACS38,DEPARTURE,Port,NICE,"2022-06-27 11:08:00",,,"Not in Transit",338167203,,"Pleasure Craft",
NIRVANA,ARRIVAL,Port,SCHOKKERHAVEN,"2022-06-27 11:08:00",ZWOLLE,ZWOLLE,"Not in Transit",244670060,"2022-06-27 08:44:00",Passenger,
"ADRIATIC PEARL",ARRIVAL,Port,HVAR,"2022-06-27 11:08:00",POMENA,POMENA,"Not in Transit",238434340,"2022-06-27 05:09:00",Passenger,
DELTATRANS,DEPARTURE,Port,BRILTIL,"2022-06-27 11:08:00",,,"In Transit",244060826,,Cargo,
SUQUAMISH,ARRIVAL,Port,MUKILTEO,"2022-06-27 11:08:00",CLINTON,CLINTON,"Not in Transit",368027230,"2022-06-27 10:59:00",Passenger,1400
"HB PIRARARA",ARRIVAL,Port,SANTAREM,"2022-06-27 11:08:00","VILA DO CONDE","VILA DO CONDE","Not in Transit",710003757,"2022-06-22 23:54:00",Tug,
